site,ok,status,title,brand_or_shop,price,currency,original_price,discount_percent,rating,review_count,is_bestseller,favorites,materials,dimensions,ships_from,availability,is_ad,free_shipping,source,url,image_url
etsy,,,Personalized Baby Name \| Canvas Flag \| Nursery Name Sign \| Custom Name Banner \| Nursery Wall Decor \| Mason Parker,,31.2,USD,39.0,20.0,,39931,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1434961535/personalized-baby-name-canvas-flag,https://i.etsystatic.com/12256552/c/1324/1051/604/361/il/f4676a/5780293146/il_340x270.5780293146_c8k9.jpg
etsy,,,"Four-Leaf Clover Arched Frame 2x4 Inch, Botanical Art, Wall Decor, Good Luck Charm",,19.99,USD,26.65,25.0,,235,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4541934673/four-leaf-clover-arched-frame-2x4-inch,https://i.etsystatic.com/62683538/r/il/7b35a2/8282867466/il_340x270.8282867466_q74l.jpg
etsy,,,"Film Roll Acrylic Photo Block, Personalized Friend Keepsake, Friendship Memory Gift",,15.75,USD,45.0,65.0,,98,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4472037242/film-roll-acrylic-photo-block,https://i.etsystatic.com/57470744/c/906/906/56/58/il/d6320c/7815155324/il_340x270.7815155324_pfgv.jpg
etsy,,,Custom Wood Sign \| Personalized Family Name Sign \| Last Name Sign \| Wedding Gift \| Home Wall Decor \| Anniversary Gift \| Custom Wood Signs,,39.0,USD,130.0,70.0,,18329,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/963147161/custom-wood-sign-personalized-family,https://i.etsystatic.com/20641892/r/il/d5aa47/3742912928/il_340x270.3742912928_mq3y.jpg
etsy,,,Custom House Name Ceramic Plaque Personalized House sign Handpainted Home Portrait Farmhouse Plaque Memorial Outdoor House Name Plaque gift,,49.64,USD,73.0,32.0,,801,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4310537785/custom-house-name-ceramic-plaque,https://i.etsystatic.com/52061210/r/il/06e450/6935896103/il_340x270.6935896103_h97m.jpg
etsy,,,Personalized Vinyl Record with Photo - Acrylic Song Plaque - Anniversary Gift for Friends - Birthday Gift for Her Him - Christmas Gifts,,10.15,USD,20.3,50.0,,6325,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1623536505/personalized-vinyl-record-with-photo,https://i.etsystatic.com/32449061/r/il/a3c653/7356868301/il_340x270.7356868301_36it.jpg
etsy,,,"Laser Cut Logo Sign, Beauty Salon Sign, 3D Business Sign, Business Signboard, Custom Laser Cut, Logo With Raised 3D Design, Dentist Sign",,27.0,USD,30.0,10.0,,3167,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/692885180/laser-cut-logo-sign-beauty-salon-sign-3d,https://i.etsystatic.com/19179456/r/il/d2db11/2869221872/il_340x270.2869221872_u1th.jpg
etsy,,,"Large 3D Textured Flower Oil Painting On Canvas, Abstract Floral Wall Art, Original Blooming Blossom Canvas Art, Boho Living Room Home Decor",,85.42,USD,131.41,35.0,,205,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1904358335/large-3d-textured-flower-oil-painting-on,https://i.etsystatic.com/47571052/c/1834/1834/82/82/il/91e442/6871264489/il_340x270.6871264489_tfhj.jpg
etsy,,,"Vibrant Abstract Landscape Oil Painting, Original Blue Sky White Clouds Wall Art, Modern Natural Scenery Painting, Living Room Home Decor",,71.58,USD,119.3,40.0,,614,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4343686127/vibrant-abstract-landscape-oil-painting,https://i.etsystatic.com/32811653/c/1481/1481/213/106/il/18dd0e/7583225344/il_340x270.7583225344_15s6.jpg
etsy,,,"Hand-Carved Terracotta Plaster Relief Art, Gold Frame Earth Tone Decor",,427.16,USD,610.23,30.0,,,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4559876122/hand-carved-terracotta-plaster-relief,https://i.etsystatic.com/67329702/r/il/b0b24f/8411488422/il_340x270.8411488422_evop.jpg
etsy,,,"Custom Neon Sign, Neon Signs, Personalized Gifts, Home Decor, Wedding Neon Signs, LED Neon Light, Custom Sign, Wall Decor, Gift for her",,12.5,USD,50.0,75.0,,23703,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/965245133/custom-neon-sign-neon-signs-personalized,https://i.etsystatic.com/27519419/r/il/d4953e/7753111315/il_340x270.7753111315_1tls.jpg
etsy,,,"Custom Neon Sign for Kids, Name Neon Sign, Custom Led Sign Wall Decor, Kid's Room Decor, Gift for Her/Him, Personalized Gift, Gifts",,12.0,USD,40.0,70.0,,19651,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1778630263/custom-neon-sign-for-kids-led-light,https://i.etsystatic.com/26971380/r/il/ee460e/6198456112/il_340x270.6198456112_nqqi.jpg
etsy,,,"Home portrait, house painting, housewarming gift, our first home sign, home sweet home sign, watercolor home, house portrait, realtor gift",,24.99,USD,33.32,25.0,,16749,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1176417219/home-portrait-house-painting,https://i.etsystatic.com/26183470/r/il/14d0b2/6207962462/il_340x270.6207962462_3nde.jpg
etsy,,,"New Home Gift, Personalised Home Print, Housewarming Gift, First Home, New Home Map Print, Moving Gift, Christmas Gift, CP",,5.35,USD,7.64,30.0,,22393,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1196854093/new-home-gift-personalised-home-print,https://i.etsystatic.com/23524437/r/il/b3f6f0/7386565959/il_340x270.7386565959_swuv.jpg
etsy,,,"Good Old Days Flag , Hanging Canvas Banner Wall Decor,Vintage Canvas Banner,Wall Art Pennant for Nursery,Living Room Decor Pennant",,38.5,USD,70.0,45.0,,396,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4306207132/good-old-days-flag-hanging-canvas-banner,https://i.etsystatic.com/55952283/r/il/5cf751/6863666424/il_340x270.6863666424_ld8o.jpg
etsy,,,"Personalised Music Poster, Customizable Music Gift, Personalised Vinyl Lyric Print, Favourite Song Personalised, Personalised Record Gift",,14.0,USD,,,,5326,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1780695383/personalised-music-poster-customizable,https://i.etsystatic.com/22646948/c/1552/1552/487/742/il/a5e7df/6577874090/il_340x270.6577874090_3eiw.jpg
etsy,,,"Personalized Gift Song Plaque Anniversary Gift For Him, Anniversary Gift For Boyfriend, Acrylic Music Plaque, Gift for Her, Fathers Day Gift",,11.99,USD,29.98,60.0,,18111,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/888881112/personalized-gift-song-plaque,https://i.etsystatic.com/23086333/c/2000/1588/0/309/il/0d9318/5306882900/il_340x270.5306882900_9e2x.jpg
etsy,,,"Custom Metal Sign, House Sign, Custom Metal Words, Metal Wall Sign, Metal Wall Art, Steel Words, Personalized House Name, Metal Sign",,40.0,USD,80.0,50.0,,283,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1749522454/custom-metal-sign-house-sign-custom,https://i.etsystatic.com/50795877/r/il/ee5be7/5880561522/il_340x270.5880561522_h8up.jpg
etsy,,,"Extra Large Macrame Wall Hanging, Abstract Textile Art for Interior, Japandi Fiber Wall Art Decor, Extra Large Macrame Headboard Above Bed",,150.0,USD,200.0,25.0,,715,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1721121082/extra-large-macrame-wall-hanging,https://i.etsystatic.com/26714463/c/3000/2382/0/93/il/c67e53/6007230248/il_340x270.6007230248_bqzz.jpg
etsy,,,"Handmade Fireplace Mantel, Floating Mantel, Custom Pine Fireplace Mantel, TV Shelf, Floating Shelving, Custom Sizes",,104.0,USD,130.0,20.0,,3224,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1339182717/handmade-fireplace-mantel-floating,https://i.etsystatic.com/22728008/r/il/fb44fc/4878572917/il_340x270.4878572917_tvld.jpg
etsy,,,"Custom Watercolor House Portrait,Watercolor House Painting,Personalized Housewarming Gift,First Home Gift,Realtor Closing Gift,Home Portrait",,20.4,USD,34.0,40.0,,7299,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/692105292/custom-watercolor-house,https://i.etsystatic.com/10967690/c/2501/1990/223/95/il/57099d/6038598883/il_340x270.6038598883_ize7.jpg
etsy,,,Nursery Decor Nursery Name Signs Wooden Name Sign Nursery Wall Decor Custom Name Sign Nursery Wall Art Wooden Wall Decor Baby Shower Sign,,5.85,USD,19.5,70.0,,22727,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/824944174/nursery-decor-nursery-name-signs-wooden,https://i.etsystatic.com/23824347/r/il/1a9648/2412139698/il_340x270.2412139698_h1ed.jpg
etsy,,,"3D textured wall art beige minimalist beach painting, ocean wave canvas painting wabi-sabi wall art living room wall decor, large relief art",,90.0,USD,180.0,50.0,,20,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4490065559/3d-textured-wall-art-beige-minimalist,https://i.etsystatic.com/63158996/r/il/74c063/7921940606/il_340x270.7921940606_r8xu.jpg
etsy,,,"Samsung Frame TV bezel,handmade frame tv bezel,aluminum alloy frame,Modern style frame for Samsung the Frame Tv(ls03a/b/c/d/f/h)",,242.97,USD,485.93,50.0,,2387,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4493876441/samsung-frame-tv-bezelhandmade-frame-tv,https://i.etsystatic.com/36802494/c/2025/2025/0/0/il/77de6f/7994787583/il_340x270.7994787583_sz93.jpg
etsy,,,"living room wall art set, large wall art, living room painting, oversized canvas wall art, abstract wall art, modern art painting A207",,334.6,USD,478.0,30.0,,314,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/786414935/living-room-wall-art-set-large-wall-art,https://i.etsystatic.com/21597987/r/il/872630/2271624183/il_340x270.2271624183_4x55.jpg
etsy,,,"Seaside Town By The Beach Calm Sunset Canvas Wall Art, Abstract Oil Painting Watercolor Decor, Art Print for Living Room, Bedroom, Office",,47.92,USD,59.9,20.0,,11,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1829786278/seaside-town-by-the-beach-calm-sunset,https://i.etsystatic.com/49201884/c/2830/2830/98/0/il/2c9ee9/7201335985/il_340x270.7201335985_13b7.jpg
etsy,,,Tulip Ceramic House Numbers: Hand Decorated Address Plaque,,6.37,USD,8.5,25.0,,308,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1459452032/tulip-ceramic-house-numbers-hand,https://i.etsystatic.com/43255570/r/il/5545a6/6786697688/il_340x270.6786697688_64mm.jpg
etsy,,,"Wooden Wall Hooks, Minimalist Coat Rack, Modern Entryway Hooks, Solid Wood Wall Hooks for Towels, Bags, Jackets, Scandinavian Style",,9.9,USD,16.5,40.0,,4734,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1878335146/wooden-wall-hooks-minimalist-coat-rack,https://i.etsystatic.com/36084915/r/il/2fb6d5/8402565170/il_340x270.8402565170_58af.jpg
etsy,,,Personalized Needle Felted Dog Embroidery Hoop Art: Custom Pet Portrait,,24.91,USD,55.36,55.0,,135,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4333669853/personalized-needle-felted-dog,https://i.etsystatic.com/59738911/c/2752/2752/123/0/il/965cb6/7161146603/il_340x270.7161146603_q7eu.jpg
etsy,,,"Custom Hand-Drawn Watercolor Portrait, Gift for Her, Couple Proposal Drawing, Boyfriend Gift, Girlfriend Birthday Gift, Valentines Day",,9.98,USD,14.26,30.0,,7358,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1780134911/custom-hand-drawn-watercolor-portrait,https://i.etsystatic.com/40627072/c/2500/2500/0/0/il/fddc39/7692525663/il_340x270.7692525663_bo18.jpg
